init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
1	2	1005	1	14.71	0.15	4	1000	0	1
1	4	1193	1	74.29	0.15	4	1000	0	1
2	1	1005	1	14.74	0.15	4	1000	0	1
2	5	1109	1	53.42	0.15	4	1000	0	1
2	6	500	1	62.96	0.15	4	1000	0	1
4	12	1292	1	33.52	0.15	4	1000	0	1
4	5	179	1	40.12	0.15	4	1000	0	1
5	6	102	1	9.38	0.15	4	1000	0	1
5	13	323	1	22.56	0.15	4	1000	0	1
5	4	187	1	40.12	0.15	4	1000	0	1
6	14	436	1	19.05	0.15	4	1000	0	1
6	5	72	1	9.8	0.15	4	1000	0	1
11	8	820	1	13.42	0.15	4	1000	0	1
8	12	380	1	16.54	0.15	4	1000	0	1
7	8	430	1	27.84	0.15	4	1000	0	1
12	13	480	1	18.4	0.15	4	1000	0	1
12	19	1088	1	5.67	0.15	4	1000	0	1
13	12	480	1	10.41	0.15	4	1000	0	1
13	14	460	1	12.65	0.15	4	1000	0	1
13	20	640	1	9.38	0.15	4	1000	0	1
14	13	480	1	9.5	0.15	4	1000	0	1
14	21	436	1	12.35	0.15	4	1000	0	1
14	15	485	1	12.8	0.15	4	1000	0	1
18	17	436	1	12.93	0.15	4	1000	0	1
19	20	436	1	12.98	0.15	4	1000	0	1
19	25	1068	1	12.07	0.15	4	1000	0	1
19	18	540	1	9.32	0.15	4	1000	0	1
20	19	436	1	10.44	0.15	4	1000	0	1
20	21	438	1	11.85	0.15	4	1000	0	1
20	26	680	1	10.82	0.15	4	1000	0	1
21	20	436	1	9.39	0.15	4	1000	0	1
21	27	435	1	14.23	0.15	4	1000	0	1
21	22	433	1	12.68	0.15	4	1000	0	1
17	16	436	1	6.67	0.15	4	1000	0	1
17	23	445	1	14.44	0.15	4	1000	0	1
27	32	437	1	18.33	0.15	4	1000	0	1
27	26	435	1	9.65	0.15	4	1000	0	1
26	27	435	1	9.65	0.15	4	1000	0	1
26	25	431	1	13.38	0.15	4	1000	0	1
26	31	640	1	8.36	0.15	4	1000	0	1
25	26	436	1	13.38	0.15	4	1000	0	1
25	30	1078	1	8.08	0.15	4	1000	0	1
24	25	432	1	12.41	0.15	4	1000	0	1
23	24	430	1	14.76	0.15	4	1000	0	1
23	28	435	1	12.41	0.15	4	1000	0	1
28	33	436	1	8.98	0.15	4	1000	0	1
29	28	150	1	12.15	0.15	4	1000	0	1
30	35	908	1	9.1	0.15	4	1000	0	1
30	29	150	1	9.32	0.15	4	1000	0	1
31	30	172	1	9.62	0.15	4	1000	0	1
31	36	436	1	9.22	0.15	4	1000	0	1
32	37	436	1	11.86	0.15	4	1000	0	1
32	31	248	1	9.22	0.15	4	1000	0	1
37	42	436	1	12.88	0.15	4	1000	0	1
36	37	429	1	13.48	0.15	4	1000	0	1
36	41	436	1	9.41	0.15	4	1000	0	1
35	40	936	1	9.21	0.15	4	1000	0	1
35	36	432	1	13.11	0.15	4	1000	0	1
33	38	430	1	11.82	0.15	4	1000	0	1
38	43	430	1	9.76	0.15	4	1000	0	1
39	38	340	1	11.52	0.15	4	1000	0	1
40	39	550	1	9.39	0.15	4	1000	0	1
40	45	910	1	9.29	0.15	4	1000	0	1
41	40	600	1	11.9	0.15	4	1000	0	1
41	46	435	1	9.17	0.15	4	1000	0	1
42	41	600	1	13.29	0.15	4	1000	0	1
42	47	434	1	12.37	0.15	4	1000	0	1
43	48	432	1	11.98	0.15	4	1000	0	1
44	43	295	1	13.36	0.15	4	1000	0	1
45	44	295	1	13.06	0.15	4	1000	0	1
45	50	915	1	12.53	0.15	4	1000	0	1
46	45	295	1	11.59	0.15	4	1000	0	1
47	46	295	1	11.82	0.15	4	1000	0	1
48	49	348	1	13.93	0.15	4	1000	0	1
49	50	296	1	12.52	0.15	4	1000	0	1
9	10	380	1	8.8	0.15	4	1000	0	1
10	11	380	1	14.63	0.15	4	1000	0	1
10	17	436	1	11.62	0.15	4	1000	0	1
16	17	436	1	6.67	0.15	4	1000	0	1
22	21	433	1	12.68	0.15	4	1000	0	1
15	14	485	1	12.08	0.15	4	1000	0	1
